kind,phase,method,tradition,n_games,n_records,mean,ci_lo,ci_hi,mean_over_records,ci_lo_over_records,ci_hi_over_records,S_mean,S_ci_lo,S_ci_hi,M_mean,M_ci_lo,M_ci_hi,F_mean,seed_sd,seed_sd_source,seed_sd_n_records,commits
method,phaseA_kording,A1_connectomics,intervention,35,35,0.2066,0.1296,0.2925,0.2066,0.1302,0.2947,0.9708,0.9585,0.9814,0.9778,0.9333,1.0,0.2066,,,0,d85961ed
method,phaseA_kording,A2_lesions,intervention,42,42,0.965,0.9417,0.9842,0.965,0.9438,0.9846,0.5888,0.5132,0.6574,0.8565,0.8028,0.9028,0.965,,,0,d85961ed
method,phaseA_kording,A3_tuning,correlational,42,42,0.2129,0.1389,0.2941,0.2129,0.1335,0.2891,0.2001,0.129,0.2797,0.8413,0.7856,0.8975,0.2129,,,0,d85961ed
method,phaseA_kording,A4_spike_word,correlational,34,34,0.2246,0.1669,0.2867,0.2246,0.1674,0.2794,0.1332,0.0855,0.1885,0.34,0.2281,0.4614,0.2246,,,0,39cd1d3;d85961ed
method,phaseA_kording,A5_local_field_potentials,correlational,40,40,0.3757,0.3227,0.4298,0.3757,0.3196,0.4316,,,,,,,,,,0,d85961ed
method,phaseA_kording,A6_granger,correlational,35,35,0.1364,0.0908,0.1839,0.1364,0.0931,0.1833,0.8841,0.8485,0.9168,0.2157,0.1321,0.3104,0.1364,,,0,d85961ed
method,phaseA_kording,A7_dim_reduction,dim_reduction,42,42,0.519,0.4571,0.581,0.519,0.4619,0.581,,,,,,,,,,0,d85961ed
method,phaseA_kording,A8_wholestate,descriptive,42,42,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0755,0.0662,0.0848,1.0,,,0,d85961ed
method,phaseB_attribution,expected_gradients,gradient,42,84,0.1754,0.1125,0.2425,0.1754,0.1075,0.2423,0.5758,0.5134,0.6389,1.0,1.0,1.0,0.1754,0.0,extra.stability.corr_std (independent-seed refits),12,d85961ed
method,phaseB_attribution,extremal_perturbation,intervention,42,84,0.4605,0.4089,0.5159,0.4605,0.4011,0.5221,0.6297,0.5696,0.6942,0.9704,0.9535,0.9854,0.4605,,,0,d85961ed
